popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
58,298266,0,0.643,0.268,11,-15.073,0,0.09,0.593,2.06E-06,0.316,0.62,143.813,4,classical
59,482586,0,0.484,0.898,0,-4.132,1,0.164,0.365,0,0.091,0.68,91.975,4,classical
54,219437,0,0.608,0.638,11,-6.008,0,0.0292,0.581,0.0172,0.448,0.439,140.109,4,classical
68,299146,0,0.695,0.293,11,-16.278,0,0.0431,0.596,0.0158,0.132,0.637,143.804,4,classical
59,387716,0,0.583,0.308,7,-18.303,0,0.0465,0.581,0.0106,0.257,0.241,118.226,4,classical
62,298266,0,0.643,0.268,11,-15.073,0,0.09,0.593,2.06E-06,0.316,0.62,143.813,4,classical
59,306626,0,0.642,0.562,9,-9.304,0,0.0607,0.584,0,0.104,0.671,149.82,4,classical
0,442400,0,0.23,0.206,0,-13.594,0,0.0348,0.965,0.856,0.17,0.134,139.114,3,classical
2,177000,0,0.496,0.186,9,-19.857,1,0.0418,0.992,0.944,0.11,0.585,79.334,4,classical
1,151080,0,0.355,0.215,9,-18.632,1,0.0465,0.987,0.957,0.331,0.65,80.606,4,classical
0,526200,0,0.372,0.0273,2,-33.32,1,0.0409,0.993,0.924,0.081,0.157,115.872,4,classical
1,177960,0,0.175,0.0578,2,-20.568,1,0.0422,0.913,0.895,0.0906,0.0395,68.005,4,classical
0,32996,0,0.634,0.124,7,-19.991,1,0.113,0.989,0.944,0.121,0.769,81.842,3,classical
2,363253,0,0.0769,0.0846,2,-25.997,1,0.045,0.922,0.929,0.113,0.0586,176.329,4,classical
0,210386,0,0.278,0.123,2,-23.707,1,0.0422,0.993,0.739,0.355,0.511,78.59,3,classical
1,93340,0,0.372,0.0413,0,-31.531,0,0.0339,0.995,0.845,0.129,0.445,170.196,3,classical
0,173189,0,0.175,0.12,4,-22.495,1,0.0452,0.988,0.0456,0.177,0.0717,64.424,4,classical
0,157400,0,0.499,0.059,7,-20.969,1,0.0546,0.995,0.89,0.0889,0.171,82.472,4,classical
0,472333,0,0.349,0.139,9,-19.982,1,0.0347,0.992,0.898,0.113,0.342,134.946,4,classical
0,182933,0,0.177,0.0601,0,-21.942,1,0.0405,0.987,0.894,0.0687,0.0543,81.807,3,classical
